observation_id,method,public_route_or_surface,observed_functional_state,existing_record_relation,candidate_classification,proposed_reconciliation_lane,evidence_status,access_boundary
P-ARCHIVE-001,archive-first-local-receipt,historical-public-P1,Exact V5 CSV and JSON twins absent from checked repository refs/local archive/Downloads packet/old P1 worktree/local filename index,DSC-MARKET-ONTOLOGY-PUBLIC-P1-CORPUS-RETAINED-OUTSIDE-GITHUB,HISTORICAL_ARCHIVE_BLOCKER,F00,VERIFIED_ABSENCE_ON_BOUNDED_SURFACE,No reconstruction permitted
P-ROUTES-001,sitemap-indexed-route-inventory,public-sitemaps,292 static plus 7 owned plus 11 geonews plus 10 map-the-world plus 25 public plus 3087 equities plus 2088 events plus 55 news URLs,Not represented as a route-family preservation receipt,ROUTE_FAMILY_PRESERVATION_GAP,F00+F05+F06,OBSERVED_PUBLIC_INDEX,No mass content crawl
P-ENTITY-001,sitemap-indexed-dynamic-sample,/equities/NVDA,Entity page links current event impacts to a durable ticker ledger,MO-PAID-021 Ticker Workspace,DEPTH_EXPANSION,F06,OBSERVED_PUBLIC,Representative dynamic-route sample only
P-ENTITY-002,sitemap-indexed-dynamic-sample,/equities/NVDA/impact-ledger,Assumption change records use date field direction magnitude confidence and pair with event impact records using date channel direction horizon impact,MO-PAID-021 and MO-PAID-022 plus event-to-asset mapping,COMPOSED_OBJECT_CONTRACT_GAP,F06+F07,OBSERVED_PUBLIC,Do not infer current values as canonical data
P-EVENT-001,sitemap-indexed-dynamic-sample,/events/2026-08-26/nvidia-reports-q2-earnings-today-amid-high-growth-expectations,Event record visibly carries time/type/confidence/verification/mechanism/exposed-assets state,MO-PAID-017 and MO-PAID-018,DEPTH_EXPANSION,F05,OBSERVED_PUBLIC,Representative dynamic-route sample only
P-RESEARCH-001,direct-product-state,/research-terminal,Catalyst ranking transitions into ticker valuation policy capital-markets and scenario or portfolio research with evidence mechanism risks invalidation and monitoring,MO-DELTA-006 and related baseline rows,TRANSITION_GRAPH_GAP,F04 cross-lane with F05-F09,OBSERVED_PUBLIC,No subscription or internal controls used
P-OPTIONS-001,direct-product-state,/options,Event-to-asset-to-structure interpretation includes regime/vol/flow/gamma and scenario/Greeks structure evaluation,MO-PAID-012 through MO-PAID-015 and MO-PAID-076 through MO-PAID-077,CONFIRMED_FUNCTIONAL_DEPTH,F03,OBSERVED_PUBLIC,No live chain or trade action used
P-OPTIONS-002,direct-product-state,/options-intelligence/catalyst-to-options,Catalyst feeds exposed assets then structures then saved thesis then alert or monitoring state,MO-DELTA-033 and MO-PAID-070,PERSISTENT_WORKFLOW_COMPOSITION_GAP,F03+F08+F11,OBSERVED_PUBLIC,No thesis was created
P-OPTIONS-003,indexed-link-follow,/options-intel/nvda,Ticker options current read composes chain/OI concentration/dealer positioning/vol surface/notable flow into synthesized continuously refreshed state,MO-PAID-012 through MO-PAID-015 and MO-PAID-071 through MO-PAID-077,TICKER_COMPOSITION_GAP,F03,OBSERVED_PUBLIC,No options analytics session or trade action used
P-CAPITAL-001,direct-product-state,/capital-markets,Issuer qualification/financing route constraints/transaction effects/saved changed-state monitoring form one returning workflow,MO-PAID-059 through MO-PAID-069,ISSUER_STATE_CYCLE_GAP,F09,OBSERVED_PUBLIC,No issuer or transaction accessed
P-PORTFOLIO-001,sitemap-indexed-route-sample,/map-the-world,Timestamped event resolves through mechanism to position direction/timeframe/confidence/evidence/invalidation and monitoring,MO-DELTA-042,CONFIRMED_FUNCTIONAL_DEPTH,F08,OBSERVED_PUBLIC,No holdings submitted
P-API-001,direct-product-state,/api,Public API contract shows stable IDs/idempotency/evidence-inference separation/versioning/signed delivery plus monitor/update/evidence/analysis/widget route shapes,MO-DELTA-036 through MO-DELTA-039,DEPTH_EXPANSION,F12,OBSERVED_PUBLIC,No request or credentials used
P-BRIEF-001,indexed-static-route-sample,/today/options,Dated brief combines regime/cross-asset monitor/transmission status/scorecard/week-ahead state,MO-PAID-009 and MO-PAID-011,CONFIRMED_FUNCTIONAL_DEPTH,F01,OBSERVED_PUBLIC,No claim of deterministic-model equivalence
P-AUTH-001,negative-boundary,/public/markets/cross-asset,Public drill-down redirected to account creation or sign-in,No authenticated coverage conclusion,INACCESSIBLE_REQUIRES_AUTH,F00,OBSERVED_PUBLIC,No account creation or sign-in
P-NEG-001,indexed-static-route-sample,/workflows/single-name-options,Requested indexed workflow displayed workflow-not-found state,No feature-absence conclusion,NEGATIVE_ROUTE_RESULT,F00,OBSERVED_PUBLIC,Do not generalize from one route
